yr, lga_code17, solar_inst_small_scale_solar_panel_sys_inst_num, lga_name17
2016,"23190",1483,"Horsham (RC)"
2016,"23270",9819,"Hume (C)"
2016,"23350",2132,"Indigo (S)"
2016,"23430",5909,"Kingston (C) (Vic.)"
2016,"23670",8378,"Knox (C)"
2016,"23810",5279,"Latrobe (C) (Vic.)"
2016,"23940",906,"Loddon (S)"
2016,"24130",3661,"Macedon Ranges (S)"
2016,"24210",4289,"Manningham (C)"
2016,"24250",917,"Mansfield (S)"
2016,"24330",2382,"Maribyrnong (C)"
2016,"24410",4602,"Maroondah (C)"
2016,"24600",709,"Melbourne (C)"
2016,"24650",7871,"Melton (C)"
2016,"24780",3189,"Mildura (RC)"
2016,"24850",3258,"Mitchell (S)"
2016,"24900",3548,"Moira (S)"
2016,"24970",6862,"Monash (C)"
2016,"25060",3791,"Moonee Valley (C)"
2016,"25150",2550,"Moorabool (S)"
2016,"25250",4993,"Moreland (C)"
2016,"25340",10827,"Mornington Peninsula (S)"
2016,"25430",2371,"Mount Alexander (S)"
2016,"25490",992,"Moyne (S)"
2016,"25620",1616,"Murrindindi (S)"
2016,"25710",3010,"Nillumbik (S)"
2016,"25810",978,"Northern Grampians (S)"
2016,"25900",1094,"Port Phillip (C)"
2016,"25990",671,"Pyrenees (S)"
2016,"26080",363,"Queenscliffe (B)"
2016,"26170",3233,"South Gippsland (S)"
2016,"26260",929,"Southern Grampians (S)"
2016,"26350",1444,"Stonnington (C)"
2016,"17200",989,"Sydney (C)"
2016,"17310",3675,"Tamworth Regional (A)"
2016,"17350",434,"Temora (A)"
2016,"17100",642,"Strathfield (A)"
2016,"17400",697,"Tenterfield (A)"
2016,"26430",1323,"Strathbogie (S)"
2016,"22490",1849,"Golden Plains (S)"
2016,"17150",6358,"Sutherland Shire (A)"
2016,"22620",8294,"Greater Bendigo (C)"
2016,"22310",3358,"Glen Eira (C)"
2016,"22670",6196,"Greater Dandenong (C)"
2016,"22750",14303,"Greater Geelong (C)"
2016,"22410",1369,"Glenelg (S)"
